,Feature,Occurence,Probability,Probability in SFS,Probability in SBS
0,151,10,1.0,1.0,1.0
2,161,10,1.0,1.0,1.0
1,160,9,0.9,1.0,0.8
15,162,7,0.7,0.6,0.8
4,164,6,0.6,0.8,0.4
3,163,6,0.6,1.0,0.2
39,145,5,0.5,0.4,0.6
24,27,5,0.5,0.4,0.6
42,158,5,0.5,0.4,0.6
5,165,5,0.5,0.8,0.2
34,100,5,0.5,0.4,0.6
76,101,4,0.4,0.2,0.6
12,49,4,0.4,0.6,0.2
37,121,4,0.4,0.4,0.4
6,166,4,0.4,0.8,0.0
7,167,4,0.4,0.8,0.0
142,113,4,0.4,0.0,0.8
8,168,4,0.4,0.8,0.0
10,13,4,0.4,0.6,0.2
14,139,4,0.4,0.6,0.2
88,152,4,0.4,0.2,0.6
94,5,3,0.3,0.0,0.6
96,9,3,0.3,0.0,0.6
44,15,3,0.3,0.2,0.4
74,91,3,0.3,0.2,0.4
99,12,3,0.3,0.0,0.6
31,82,3,0.3,0.4,0.2
40,147,3,0.3,0.4,0.2
38,123,3,0.3,0.4,0.2
82,124,3,0.3,0.2,0.4
35,105,3,0.3,0.4,0.2
66,66,3,0.3,0.2,0.4
30,71,3,0.3,0.4,0.2
9,6,3,0.3,0.6,0.0
11,32,3,0.3,0.6,0.0
140,110,3,0.3,0.0,0.6
25,38,3,0.3,0.4,0.2
147,120,3,0.3,0.0,0.6
13,134,3,0.3,0.6,0.0
163,144,3,0.3,0.0,0.6
116,67,2,0.2,0.0,0.4
164,146,2,0.2,0.0,0.4
68,69,2,0.2,0.2,0.2
75,94,2,0.2,0.2,0.2
166,154,2,0.2,0.0,0.4
86,149,2,0.2,0.2,0.2
165,148,2,0.2,0.0,0.4
90,157,2,0.2,0.2,0.2
97,10,2,0.2,0.0,0.4
95,8,2,0.2,0.0,0.4
104,33,2,0.2,0.0,0.4
158,137,2,0.2,0.0,0.4
98,11,2,0.2,0.0,0.4
153,130,2,0.2,0.0,0.4
131,95,2,0.2,0.0,0.4
128,88,2,0.2,0.0,0.4
100,14,2,0.2,0.0,0.4
59,53,2,0.2,0.2,0.2
124,80,2,0.2,0.0,0.4
85,141,2,0.2,0.2,0.2
41,155,2,0.2,0.4,0.0
20,20,2,0.2,0.4,0.0
36,109,2,0.2,0.4,0.0
16,1,2,0.2,0.4,0.0
33,93,2,0.2,0.4,0.0
17,7,2,0.2,0.4,0.0
18,17,2,0.2,0.4,0.0
19,18,2,0.2,0.4,0.0
32,85,2,0.2,0.4,0.0
53,41,2,0.2,0.2,0.2
21,22,2,0.2,0.4,0.0
29,62,2,0.2,0.4,0.0
28,50,2,0.2,0.4,0.0
22,24,2,0.2,0.4,0.0
27,44,2,0.2,0.4,0.0
23,25,2,0.2,0.4,0.0
43,2,2,0.2,0.2,0.2
26,43,2,0.2,0.4,0.0
56,47,2,0.2,0.2,0.2
78,106,1,0.1,0.2,0.0
167,156,1,0.1,0.0,0.2
73,89,1,0.1,0.2,0.0
72,87,1,0.1,0.2,0.0
71,81,1,0.1,0.2,0.0
107,36,1,0.1,0.0,0.2
79,111,1,0.1,0.2,0.0
110,51,1,0.1,0.0,0.2
69,74,1,0.1,0.2,0.0
61,57,1,0.1,0.2,0.0
57,48,1,0.1,0.2,0.0
155,133,1,0.1,0.0,0.2
67,68,1,0.1,0.2,0.0
152,129,1,0.1,0.0,0.2
58,52,1,0.1,0.2,0.0
149,125,1,0.1,0.0,0.2
65,65,1,0.1,0.2,0.0
64,64,1,0.1,0.2,0.0
63,63,1,0.1,0.2,0.0
62,60,1,0.1,0.2,0.0
102,28,1,0.1,0.0,0.2
70,76,1,0.1,0.2,0.0
55,46,1,0.1,0.2,0.0
91,0,1,0.1,0.0,0.2
80,117,1,0.1,0.2,0.0
81,118,1,0.1,0.2,0.0
77,104,1,0.1,0.2,0.0
83,126,1,0.1,0.2,0.0
84,131,1,0.1,0.2,0.0
52,40,1,0.1,0.2,0.0
51,37,1,0.1,0.2,0.0
87,150,1,0.1,0.2,0.0
89,153,1,0.1,0.2,0.0
49,29,1,0.1,0.2,0.0
50,30,1,0.1,0.2,0.0
48,23,1,0.1,0.2,0.0
93,4,1,0.1,0.0,0.2
54,42,1,0.1,0.2,0.0
45,16,1,0.1,0.2,0.0
46,19,1,0.1,0.2,0.0
47,21,1,0.1,0.2,0.0
60,54,1,0.1,0.2,0.0
168,159,0,0.0,0.0,0.0
146,119,0,0.0,0.0,0.0
141,112,0,0.0,0.0,0.0
161,142,0,0.0,0.0,0.0
143,114,0,0.0,0.0,0.0
144,115,0,0.0,0.0,0.0
145,116,0,0.0,0.0,0.0
157,136,0,0.0,0.0,0.0
156,135,0,0.0,0.0,0.0
162,143,0,0.0,0.0,0.0
139,108,0,0.0,0.0,0.0
148,122,0,0.0,0.0,0.0
160,140,0,0.0,0.0,0.0
150,127,0,0.0,0.0,0.0
154,132,0,0.0,0.0,0.0
151,128,0,0.0,0.0,0.0
159,138,0,0.0,0.0,0.0
115,61,0,0.0,0.0,0.0
138,107,0,0.0,0.0,0.0
119,73,0,0.0,0.0,0.0
92,3,0,0.0,0.0,0.0
101,26,0,0.0,0.0,0.0
103,31,0,0.0,0.0,0.0
105,34,0,0.0,0.0,0.0
106,35,0,0.0,0.0,0.0
108,39,0,0.0,0.0,0.0
109,45,0,0.0,0.0,0.0
111,55,0,0.0,0.0,0.0
112,56,0,0.0,0.0,0.0
113,58,0,0.0,0.0,0.0
114,59,0,0.0,0.0,0.0
117,70,0,0.0,0.0,0.0
118,72,0,0.0,0.0,0.0
120,75,0,0.0,0.0,0.0
137,103,0,0.0,0.0,0.0
121,77,0,0.0,0.0,0.0
122,78,0,0.0,0.0,0.0
123,79,0,0.0,0.0,0.0
125,83,0,0.0,0.0,0.0
126,84,0,0.0,0.0,0.0
127,86,0,0.0,0.0,0.0
129,90,0,0.0,0.0,0.0
130,92,0,0.0,0.0,0.0
132,96,0,0.0,0.0,0.0
133,97,0,0.0,0.0,0.0
134,98,0,0.0,0.0,0.0
135,99,0,0.0,0.0,0.0
136,102,0,0.0,0.0,0.0
169,169,0,0.0,0.0,0.0
